epoch: 19, running loss(train data): 1.6356688737869263, Accuracy(val data): 0.5701106786727905
epoch: 39, running loss(train data): 1.5183773040771484, Accuracy(val data): 0.7121771574020386
epoch: 59, running loss(train data): 1.4720240831375122, Accuracy(val data): 0.7749077677726746
epoch: 79, running loss(train data): 1.4372957944869995, Accuracy(val data): 0.8007380366325378
epoch: 99, running loss(train data): 1.4109846353530884, Accuracy(val data): 0.8265682458877563
epoch: 119, running loss(train data): 1.3895378112792969, Accuracy(val data): 0.8468635082244873
epoch: 139, running loss(train data): 1.3712549209594727, Accuracy(val data): 0.8597785830497742
epoch: 159, running loss(train data): 1.3555011749267578, Accuracy(val data): 0.8616236448287964
epoch: 179, running loss(train data): 1.3419920206069946, Accuracy(val data): 0.8671587109565735
epoch: 199, running loss(train data): 1.330327033996582, Accuracy(val data): 0.8763837814331055
epoch: 219, running loss(train data): 1.3203754425048828, Accuracy(val data): 0.8763837814331055
epoch: 239, running loss(train data): 1.3109160661697388, Accuracy(val data): 0.8763837814331055
epoch: 259, running loss(train data): 1.3024325370788574, Accuracy(val data): 0.8690037131309509
epoch: 279, running loss(train data): 1.2949028015136719, Accuracy(val data): 0.8708487153053284
epoch: 299, running loss(train data): 1.2904185056686401, Accuracy(val data): 0.8690037131309509
epoch: 319, running loss(train data): 1.2818759679794312, Accuracy(val data): 0.8671587109565735
epoch: 339, running loss(train data): 1.2807514667510986, Accuracy(val data): 0.8653136491775513
epoch: 359, running loss(train data): 1.2750499248504639, Accuracy(val data): 0.8690037131309509
epoch: 379, running loss(train data): 1.2833062410354614, Accuracy(val data): 0.8616236448287964
epoch: 399, running loss(train data): 1.2668973207473755, Accuracy(val data): 0.8671587109565735
epoch: 419, running loss(train data): 1.2687292098999023, Accuracy(val data): 0.8634686470031738
epoch: 439, running loss(train data): 1.2793346643447876, Accuracy(val data): 0.8616236448287964
epoch: 459, running loss(train data): 1.276795506477356, Accuracy(val data): 0.8560885787010193
epoch: 479, running loss(train data): 1.2814997434616089, Accuracy(val data): 0.8542435765266418
epoch: 499, running loss(train data): 1.2644206285476685, Accuracy(val data): 0.8634686470031738
epoch: 519, running loss(train data): 1.2642666101455688, Accuracy(val data): 0.8690037131309509
epoch: 539, running loss(train data): 1.260771632194519, Accuracy(val data): 0.8671587109565735
epoch: 559, running loss(train data): 1.2766836881637573, Accuracy(val data): 0.8523985147476196
epoch: 579, running loss(train data): 1.2680773735046387, Accuracy(val data): 0.8560885787010193
epoch: 599, running loss(train data): 1.2775845527648926, Accuracy(val data): 0.8690037131309509
epoch: 619, running loss(train data): 1.2595049142837524, Accuracy(val data): 0.8708487153053284
epoch: 639, running loss(train data): 1.2646270990371704, Accuracy(val data): 0.8726937174797058
epoch: 659, running loss(train data): 1.260195255279541, Accuracy(val data): 0.874538779258728
epoch: 679, running loss(train data): 1.2769181728363037, Accuracy(val data): 0.8690037131309509
epoch: 699, running loss(train data): 1.2539092302322388, Accuracy(val data): 0.8726937174797058
epoch: 719, running loss(train data): 1.2655177116394043, Accuracy(val data): 0.8579335808753967
epoch: 739, running loss(train data): 1.259254813194275, Accuracy(val data): 0.8726937174797058
epoch: 759, running loss(train data): 1.2680648565292358, Accuracy(val data): 0.8671587109565735
epoch: 779, running loss(train data): 1.2662273645401, Accuracy(val data): 0.8690037131309509
epoch: 799, running loss(train data): 1.2643715143203735, Accuracy(val data): 0.8690037131309509
